timestamp,frame_idx,max_confidence,streak_length,alarm_triggered
2026-01-09T08:50:31.755232,780,0.8323,10,0
2026-01-09T08:50:31.793739,800,0.7292,10,0
2026-01-09T08:50:31.832302,820,0.7548,10,0
2026-01-09T08:50:31.871190,840,0.7222,10,0
2026-01-09T08:50:31.909551,860,0.7324,10,0
2026-01-09T08:50:31.947965,880,0.7239,10,0
2026-01-09T08:50:31.986172,900,0.7014,10,0
2026-01-09T08:50:32.024207,920,0.7139,10,0
2026-01-09T08:50:32.062793,940,0.5348,10,0
2026-01-09T08:50:32.101372,960,0.6695,10,0
2026-01-09T08:50:32.139851,980,0.8429,10,0
2026-01-09T08:50:32.177713,1000,0.8065,10,0
2026-01-09T08:50:32.215505,1020,0.8236,10,0
2026-01-09T08:50:32.253382,1040,0.8242,10,0
2026-01-09T08:50:32.291833,1060,0.6827,10,0
2026-01-09T08:50:32.329988,1080,0.6784,10,0
2026-01-09T08:50:32.367831,1100,0.7719,10,0
2026-01-09T08:50:32.405752,1120,0.7447,10,0
2026-01-09T08:50:32.443749,1140,0.7511,10,0
2026-01-09T08:50:32.482746,1160,0.6051,10,0
2026-01-09T08:50:32.521096,1180,0.6959,10,0
2026-01-09T08:50:32.559031,1200,0.6400,10,0
2026-01-09T08:50:32.596908,1220,0.6096,10,0
2026-01-09T08:50:32.634705,1240,0.7137,10,0
2026-01-09T08:50:32.673265,1260,0.7086,10,0
2026-01-09T08:50:32.711235,1280,0.6350,10,0
2026-01-09T08:50:32.750095,1300,0.7488,10,0
2026-01-09T08:50:32.788457,1320,0.6830,10,0
2026-01-09T08:50:32.826524,1340,0.7904,10,0
2026-01-09T08:50:32.864859,1360,0.7677,10,0
2026-01-09T08:50:32.902563,1380,0.8086,10,0
2026-01-09T08:50:32.940325,1400,0.8259,10,0
2026-01-09T08:50:32.978881,1420,0.7982,10,0
2026-01-09T08:50:33.017918,1440,0.7742,10,0
2026-01-09T08:50:33.056926,1460,0.8293,10,0
2026-01-09T08:50:33.095940,1480,0.7887,10,0
2026-01-09T08:50:33.134842,1500,0.7599,10,0
2026-01-09T08:50:33.173780,1520,0.5646,10,0
2026-01-09T08:50:33.212398,1540,0.7553,10,0
2026-01-09T08:50:33.250876,1560,0.4463,10,0
2026-01-09T08:50:33.288955,1580,0.1049,10,0
2026-01-09T08:50:33.327718,1600,0.2038,10,0
2026-01-09T08:50:33.365958,1620,0.1467,10,0
2026-01-09T08:50:33.403717,1640,0.3050,10,0
2026-01-09T08:50:33.441779,1660,0.2609,10,0
2026-01-09T08:50:33.479463,1680,0.2273,10,0
2026-01-09T08:50:33.517853,1700,0.2087,10,0
2026-01-09T08:50:33.555526,1720,0.2174,10,0
2026-01-09T08:50:33.593421,1740,0.1947,10,0
2026-01-09T08:50:33.631161,1760,0.2011,10,0
2026-01-09T08:50:33.668890,1780,0.1987,10,0
2026-01-09T08:50:33.706723,1800,0.1977,10,0
2026-01-09T08:50:33.745325,1820,0.1975,10,0
2026-01-09T08:50:33.783013,1840,0.1975,10,0
2026-01-09T08:50:33.821263,1860,0.1981,10,0
2026-01-09T08:50:33.870861,1880,0.4025,10,0
2026-01-09T09:01:05.445357,20,0.0449,0
2026-01-09T09:01:05.480613,40,0.0427,0
2026-01-09T09:01:05.507945,60,0.0000,0
2026-01-09T09:01:05.531609,80,0.4290,0
2026-01-09T09:01:05.556941,100,0.4225,0
2026-01-09T09:01:05.583394,120,0.4023,0
2026-01-09T09:01:05.607981,140,0.4021,0
2026-01-09T09:01:05.632856,160,0.4495,0
2026-01-09T09:01:05.657975,180,0.4337,0
2026-01-09T09:01:05.683978,200,0.3749,0
2026-01-09T09:01:05.709443,220,0.3805,0
2026-01-09T09:01:05.735339,240,0.3504,0
2026-01-09T09:01:05.760464,260,0.3545,0
2026-01-09T09:01:05.784771,280,0.3714,0
2026-01-09T09:01:05.810148,300,0.3868,0
2026-01-09T09:01:05.834330,320,0.3582,0
2026-01-09T09:01:05.859277,340,0.3666,0
2026-01-09T09:01:05.883590,360,0.6784,0
2026-01-09T09:01:05.931689,380,0.5054,0
2026-01-09T09:01:05.956043,400,0.8363,0
2026-01-09T09:01:05.980241,420,0.7593,0
2026-01-09T09:01:06.006079,440,0.8179,0
2026-01-09T09:01:06.031456,460,0.8053,0
2026-01-09T09:01:06.056529,480,0.7729,0
2026-01-09T09:01:06.081321,500,0.7618,0
2026-01-09T09:01:06.106933,520,0.7304,0
2026-01-09T09:01:06.131042,540,0.7532,0
2026-01-09T09:01:06.155724,560,0.7260,0
2026-01-09T09:01:06.179820,580,0.7654,1
2026-01-09T09:01:06.379890,600,0.7693,0
2026-01-09T09:01:06.405891,620,0.8191,0
2026-01-09T09:01:06.431247,640,0.7837,0
2026-01-09T09:01:06.457391,660,0.8208,0
2026-01-09T09:01:06.482040,680,0.7431,0
2026-01-09T09:01:06.506908,700,0.6859,0
2026-01-09T09:01:06.531362,720,0.7629,0
2026-01-09T09:01:06.555574,740,0.8236,0
2026-01-09T09:01:06.579327,760,0.6346,0
2026-01-09T09:01:06.602556,780,0.8323,0
2026-01-09T09:01:06.628160,800,0.7292,0
2026-01-09T09:01:06.652756,820,0.7548,0
2026-01-09T09:01:06.677327,840,0.7222,0
2026-01-09T09:01:06.701096,860,0.7324,0
2026-01-09T09:01:06.725653,880,0.7239,0
2026-01-09T09:01:06.749552,900,0.7014,0
2026-01-09T09:01:06.774106,920,0.7139,0
2026-01-09T09:01:06.797035,940,0.5348,0
2026-01-09T09:01:06.821675,960,0.6695,0
2026-01-09T09:01:06.846295,980,0.8429,0
2026-01-09T09:01:06.869601,1000,0.8065,0
2026-01-09T09:01:06.893139,1020,0.8236,0
2026-01-09T09:01:06.917064,1040,0.8242,0
2026-01-09T09:01:06.941468,1060,0.6827,0
2026-01-09T09:01:06.965138,1080,0.6784,0
2026-01-09T09:01:06.989916,1100,0.7719,0
2026-01-09T09:01:07.013477,1120,0.7447,0
2026-01-09T09:01:07.039815,1140,0.7511,0
2026-01-09T09:01:07.067909,1160,0.6051,0
2026-01-09T09:01:07.093535,1180,0.6959,0
2026-01-09T09:01:07.118420,1200,0.6400,0
2026-01-09T09:01:07.143836,1220,0.6096,0
2026-01-09T09:01:07.170796,1240,0.7137,0
2026-01-09T09:01:07.196406,1260,0.7086,0
2026-01-09T09:01:07.223433,1280,0.6350,0
2026-01-09T09:01:07.249852,1300,0.7488,0
2026-01-09T09:01:07.275084,1320,0.6830,0
2026-01-09T09:01:07.300906,1340,0.7904,0
2026-01-09T09:01:07.325840,1360,0.7677,0
2026-01-09T09:01:07.351205,1380,0.8086,0
2026-01-09T09:01:07.375123,1400,0.8259,0
2026-01-09T09:01:07.400022,1420,0.7982,0
2026-01-09T09:01:07.425609,1440,0.7742,0
2026-01-09T09:01:07.449890,1460,0.8293,0
2026-01-09T09:01:07.473912,1480,0.7887,0
2026-01-09T09:01:07.498359,1500,0.7599,0
2026-01-09T09:01:07.521690,1520,0.5646,0
2026-01-09T09:01:07.546233,1540,0.7553,0
2026-01-09T09:01:07.570519,1560,0.4463,0
2026-01-09T09:01:07.594716,1580,0.1049,0
2026-01-09T09:01:07.620899,1600,0.2038,0
2026-01-09T09:01:07.646162,1620,0.1467,0
2026-01-09T09:01:07.671711,1640,0.3050,0
2026-01-09T09:01:07.696608,1660,0.2609,0
2026-01-09T09:01:07.721059,1680,0.2273,0
2026-01-09T09:01:07.745127,1700,0.2087,0
2026-01-09T09:01:07.768357,1720,0.2174,0
2026-01-09T09:01:07.793550,1740,0.1947,0
2026-01-09T09:01:07.816986,1760,0.2011,0
2026-01-09T09:01:07.842774,1780,0.1987,0
2026-01-09T09:01:07.868832,1800,0.1977,0
2026-01-09T09:01:07.892669,1820,0.1975,0
2026-01-09T09:01:07.918362,1840,0.1975,0
2026-01-09T09:01:07.943012,1860,0.1981,0
2026-01-09T09:01:07.966802,1880,0.4025,0
